Rows, Columns, Density, Ticks
10, 10, 0.1, 0
10, 10, 0.1, 6
10, 10, 0.1, 2
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 2
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 2
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 3
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 3
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 4
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.1, 2
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 1
10, 10, 0.1, 0
10, 10, 0.1, 0
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 4
10, 10, 0.2, 4
10, 10, 0.2, 0
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 3
10, 10, 0.2, 0
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 4
10, 10, 0.2, 5
10, 10, 0.2, 0
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 3
10, 10, 0.2, 3
10, 10, 0.2, 0
10, 10, 0.2, 3
10, 10, 0.2, 2
10, 10, 0.2, 5
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 0
10, 10, 0.2, 0
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 0
10, 10, 0.2, 3
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 6
10, 10, 0.2, 2
10, 10, 0.2, 3
10, 10, 0.2, 5
10, 10, 0.2, 2
10, 10, 0.2, 0
10, 10, 0.2, 4
10, 10, 0.2, 2
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 3
10, 10, 0.2, 3
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 2
10, 10, 0.2, 5
10, 10, 0.2, 1
10, 10, 0.2, 1
10, 10, 0.2, 0
10, 10, 0.2, 0
